UniqueID,TimePeriod,TM_TAX_DMFN             AGR            ,TM_TAX_DMFN             ALP            ,TM_TAX_DMFN             ARM            ,TM_TAX_DMFN             CLO            ,TM_TAX_DMFN             IND            ,TM_TAX_DMFN             OIL            ,TM_TAX_DMFN             TEX            ,TM_TAX_DPRF             AGR            ,TM_TAX_DPRF             ALP            ,TM_TAX_DPRF             ARM            ,TM_TAX_DPRF             CLO            ,TM_TAX_DPRF             IND            ,TM_TAX_DPRF             OIL            ,TM_TAX_DPRF             TEX            
TimePeriod,1.0,0.5692064910001307,0.1605758630719252,0.4279604925096702,-0.6102035145839244,-0.34325178847572985,,0.027550912185691803,0.5608644550893906,0.0883980460275232,-0.7559289460184545,-0.9232744925172375,-0.4695626967612226,,-0.8815035116821417
TM_TAX_DMFN             AGR            ,0.5692064910001307,1.0,0.8660982915775753,-0.15489939830287366,-0.0464250136448772,0.12505320813128282,,0.3019459577664083,0.99991854010697,0.855591907177421,-0.2088265261083779,-0.3759970060683457,-0.3430042084547201,,-0.30253560889165304
TM_TAX_DMFN             ALP            ,0.1605758630719252,0.8660982915775753,1.0,-0.5372613569659148,0.44249705243910886,0.4844597758836292,,0.574916120709474,0.869062543290062,0.9532044064081497,0.1522410050485773,0.047428912115698954,-0.3124693391562253,,0.11124307675474011
TM_TAX_DMFN             ARM            ,0.4279604925096702,-0.15489939830287366,-0.5372613569659148,1.0,-0.7164104914009826,-0.8184215176092351,,-0.4403713237413523,-0.16206582658466515,-0.4830195170855583,-0.6793662204857905,-0.5127659068739999,-0.09326221257800994,,-0.5995892896354731
TM_TAX_DMFN             CLO            ,-0.6102035145839244,-0.0464250136448772,0.44249705243910886,-0.7164104914009826,1.0,0.7425037541463114,,0.7288037524495443,-0.042090781819850834,0.30493162007019914,0.5166575535901873,0.6333809427674482,-0.19238220700860223,,0.6051265972076935
TM_TAX_DMFN             IND            ,-0.34325178847572985,0.12505320813128282,0.4844597758836292,-0.8184215176092351,0.7425037541463114,1.0,,0.718279437010828,0.1302641015659095,0.34630787568231436,0.6497077005609949,0.29527920540806846,-0.07182355415779336,,0.3395022711809161
TM_TAX_DMFN             OIL            ,,,,,,,,,,,,,,,
TM_TAX_DMFN             TEX            ,0.027550912185691803,0.3019459577664083,0.574916120709474,-0.4403713237413523,0.7288037524495443,0.718279437010828,,1.0,0.2997114375965136,0.33219010458345605,0.08301542125968481,-0.004290714789718829,-0.6338708615126746,,-0.027163345606696285
TM_TAX_DPRF             AGR            ,0.5608644550893906,0.99991854010697,0.869062543290062,-0.16206582658466515,-0.042090781819850834,0.1302641015659095,,0.2997114375965136,1.0,0.8603756817881666,-0.19825173750241093,-0.3676273721557599,-0.33353257346878834,,-0.2933941944841987
TM_TAX_DPRF             ALP            ,0.0883980460275232,0.855591907177421,0.9532044064081497,-0.4830195170855583,0.30493162007019914,0.34630787568231436,,0.33219010458345605,0.8603756817881666,1.0,0.24413779116141288,0.15260933476606806,-0.08774382059092023,,0.2295191475519257
TM_TAX_DPRF             ARM            ,-0.7559289460184545,-0.2088265261083779,0.1522410050485773,-0.6793662204857905,0.5166575535901873,0.6497077005609949,,0.08301542125968481,-0.19825173750241093,0.24413779116141288,1.0,0.7650468599816375,0.636247743459956,,0.8166879477859927
TM_TAX_DPRF             CLO            ,-0.9232744925172375,-0.3759970060683457,0.047428912115698954,-0.5127659068739999,0.6333809427674482,0.29527920540806846,,-0.004290714789718829,-0.3676273721557599,0.15260933476606806,0.7650468599816375,1.0,0.47360029384470614,,0.9864118064768751
TM_TAX_DPRF             IND            ,-0.4695626967612226,-0.3430042084547201,-0.3124693391562253,-0.09326221257800994,-0.19238220700860223,-0.07182355415779336,,-0.6338708615126746,-0.33353257346878834,-0.08774382059092023,0.636247743459956,0.47360029384470614,1.0,,0.530714905556302
TM_TAX_DPRF             OIL            ,,,,,,,,,,,,,,,
TM_TAX_DPRF             TEX            ,-0.8815035116821417,-0.30253560889165304,0.11124307675474011,-0.5995892896354731,0.6051265972076935,0.3395022711809161,,-0.027163345606696285,-0.2933941944841987,0.2295191475519257,0.8166879477859927,0.9864118064768751,0.530714905556302,,1.0
