UniqueID,TimePeriod,EN_LKRV_PWAC                         ,EN_LKRV_PWAN                         ,EN_LKRV_PWAP                         ,EN_LKRV_SWAC                         ,EN_LKRV_SWAN                         ,EN_LKRV_SWAP                         ,EN_LKW_QLTRB  EXTREME                       ,EN_LKW_QLTRB  HIGH                       ,EN_LKW_QLTRB  LOW                       ,EN_LKW_QLTRB  MEDIUM                       ,EN_LKW_QLTRST  EXTREME                       ,EN_LKW_QLTRST  HIGH                       ,EN_LKW_QLTRST  LOW                       ,EN_LKW_QLTRST  MEDIUM                       ,EN_RSRV_MNWAN                         ,EN_RSRV_MNWAP                         ,EN_RSRV_MXWAN                         ,EN_RSRV_MXWAP                         ,EN_WBE_INWTL                         ,EN_WBE_MANGBN                         ,EN_WBE_MANGC                         ,EN_WBE_MANGGN                         ,EN_WBE_MANGGP                         ,EN_WBE_MANGLN                         ,EN_WBE_MANGLP                         ,EN_WBE_MANGN                         ,EN_WBE_WTLN                         ,EN_WBE_WTLP                         
TimePeriod,1.0,0.4356674389754375,0.43567191905019736,0.3797772626563801,0.781766481218993,0.7817664833096216,0.7825774871346702,-0.997282039668054,0.2923379197548704,0.8410202078235531,-0.8461817091024038,0.36263445468934297,-0.7288305901872615,0.3631967954848627,-0.405661780527477,-0.7355489126048255,-0.692820323027551,0.9264905702410461,0.0,,,-0.9999999999999999,1.0,1.0,1.0,1.0,-1.0,,
EN_LKRV_PWAC                         ,0.4356674389754375,1.0,0.9999999999495126,0.9957005255020406,-0.007115343946493069,-0.00711536593570041,-0.0012322499556730883,-0.9125922134839167,0.6005124015982143,0.6065349897737167,-0.61414939025013,0.023619902933154982,-0.9184261967847713,0.6587588103406455,-0.6926624112856653,-0.13486488843263647,0.004495857357143108,0.28726462390043944,4.3109769939111615e-17,,,-0.9999999999999999,1.0,1.0,0.9999999999999999,1.0000000000000002,-1.0,,
EN_LKRV_PWAN                         ,0.43567191905019736,0.9999999999495126,1.0,0.995700382775434,-0.007111193311645467,-0.0071112153014757295,-0.0012281008212466364,-0.9125917730695926,0.6005132629006149,0.6065341333809462,-0.6141485401769754,0.02361882608743566,-0.9184266228950604,0.6587596207357351,-0.6926631881898322,-0.13486958282800932,0.004494299976107057,0.28727014614394575,-4.1097220367204873e-14,,,-1.0,1.0,1.0,1.0,1.0000000000000002,-1.0000000000000002,,
EN_LKRV_PWAP                         ,0.3797772626563801,0.9957005255020406,0.995700382775434,1.0,-0.04350284902791957,-0.04350288051059807,-0.037624210608165135,-0.8858918645037108,0.6482687554508455,0.5567999984979884,-0.5647588009653849,-0.03753581511164768,-0.9408906543634935,0.7035172233839166,-0.7354567952254453,-0.09072950166160026,0.06139406135148444,0.24337935895873583,1.3608290545681804e-14,,,,,,,,,,
EN_LKRV_SWAC                         ,0.781766481218993,-0.007115343946493069,-0.007111193311645467,-0.04350284902791957,1.0,0.9999999999999813,0.99991755968851,0.2034510711578292,-0.9998372149030498,0.2888287818005205,-0.2796126883660186,0.7962531856964642,0.8587426015286458,-0.9956721250504972,0.9903445239536977,-0.4063211810391685,-0.5484629370990952,0.9011323212613814,-1.2634006851469057e-16,,,-0.9999999999999999,1.0,1.0,1.0,1.0,-1.0,,
EN_LKRV_SWAN                         ,0.7817664833096216,-0.00711536593570041,-0.0071112153014757295,-0.04350288051059807,0.9999999999999813,1.0,0.9999175608146147,0.20345065698021972,-0.9998372072703904,0.2888291867966023,-0.27961309451785377,0.7962534416111557,0.858742384767453,-0.9956720857363299,0.9903444653104811,-0.4063211815107896,-0.5484629243866881,0.9011323311605421,5.89118855180145e-16,,,-1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,-1.0,,
EN_LKRV_SWAP                         ,0.7825774871346702,-0.0012322499556730883,-0.0012281008212466364,-0.037624210608165135,0.99991755968851,0.9999175608146147,1.0,0.168017731532695,-0.998536585774924,0.323159488610687,-0.3140478942013052,0.8175475111199297,0.8397093324172754,-0.9916739355601559,0.9847023509105358,-0.4046070402884885,-0.5451646291199113,0.9027356480523974,1.1555582402088142e-15,,,-0.9999999999999999,0.9999999999999998,0.9999999999999998,1.0000000000000002,0.9999999999999999,-1.0,,
EN_LKW_QLTRB  EXTREME                       ,-0.997282039668054,-0.9125922134839167,-0.9125917730695926,-0.8858918645037108,0.2034510711578292,0.20345065698021972,0.168017731532695,1.0,-0.2210834181048989,-0.878594733853334,0.8831447292957233,-0.43031221679376613,0.676402369720517,-0.29356238949200314,0.33721527074635,-0.9240771481442732,,-0.7085701203734815,,,,,,,,,,,
EN_LKW_QLTRB  HIGH                       ,0.2923379197548704,0.6005124015982143,0.6005132629006149,0.6482687554508455,-0.9998372149030498,-0.9998372072703904,-0.998536585774924,-0.2210834181048989,1.0,-0.2715079068554727,0.26224401861118096,-0.7852083138679812,-0.8678480868550331,0.9971868650322291,-0.9926845520837191,-0.1684501374950712,,-0.5315261615662717,,,,,,,,,,,
EN_LKW_QLTRB  LOW                       ,0.8410202078235531,0.6065349897737167,0.6065341333809462,0.5567999984979884,0.2888287818005205,0.2888291867966023,0.323159488610687,-0.878594733853334,-0.2715079068554727,1.0,-0.9999537995896464,0.8091612799344997,-0.24253922448188864,-0.19860404356205036,0.15332021617141595,0.9944187093174554,,0.9595373275484347,,,,,,,,,,,
