UniqueID,TimePeriod,TM_TAX_WMFN             AGR            ,TM_TAX_WMFN             ALP            ,TM_TAX_WMFN             ARM            ,TM_TAX_WMFN             CLO            ,TM_TAX_WMFN             IND            ,TM_TAX_WMFN             OIL            ,TM_TAX_WMFN             TEX            ,TM_TAX_WMPS             AGR            ,TM_TAX_WMPS             ALP            ,TM_TAX_WMPS             ARM            ,TM_TAX_WMPS             CLO            ,TM_TAX_WMPS             IND            ,TM_TAX_WMPS             OIL            ,TM_TAX_WMPS             TEX            
TimePeriod,1.0,0.9485535749155468,0.5087990031626813,-0.012692485294786617,0.6394933253758889,-0.12546225007791512,,0.15864087754875766,0.8769596789046573,0.924436627730958,0.031013581360374284,0.6314114877883658,0.9234730613386366,,0.6964660966438018
TM_TAX_WMFN             AGR            ,0.9485535749155468,1.0,0.675521242128558,0.21391820350552482,0.4779869621591695,0.018794778375368207,,-0.061332444570683375,0.7943317847932115,0.8891910966630784,0.14568434639231817,0.46660852929390007,0.9380423950510861,,0.5346420123359737
TM_TAX_WMFN             ALP            ,0.5087990031626813,0.675521242128558,1.0,0.786483245772319,-0.29321867467675977,0.7303122977355239,,-0.5015763039269716,0.0986112238838065,0.263342682428074,-0.004579437548617415,-0.30046477921197234,0.4065796646394956,,-0.1483109803901084
TM_TAX_WMFN             ARM            ,-0.012692485294786617,0.21391820350552482,0.786483245772319,1.0,-0.7452042359993339,0.7499735104730939,,-0.901489406813944,-0.4036355927784342,-0.20518431616600033,0.3433571339693766,-0.7563675092089692,0.0028590272736295683,,-0.7027301117727467
TM_TAX_WMFN             CLO            ,0.6394933253758889,0.4779869621591695,-0.29321867467675977,-0.7452042359993339,1.0,-0.7422392600532811,,0.703077839955428,0.9104860795117945,0.8055054090245626,-0.07887222579543893,0.9997170592052583,0.6627095539637811,,0.9646619658613553
TM_TAX_WMFN             IND            ,-0.12546225007791512,0.018794778375368207,0.7303122977355239,0.7499735104730939,-0.7422392600532811,1.0,,-0.4301495760307928,-0.534025394512541,-0.43004818275432605,-0.3574761449965947,-0.7370903854753702,-0.31847991610609067,,-0.5510164695612739
TM_TAX_WMFN             OIL            ,,,,,,,,,,,,,,,
TM_TAX_WMFN             TEX            ,0.15864087754875766,-0.061332444570683375,-0.5015763039269716,-0.901489406813944,0.703077839955428,-0.4301495760307928,,1.0,0.42113701510163376,0.2258270640728579,-0.6847009585730998,0.7196694041878203,0.010953039798194137,,0.7774163069598412
TM_TAX_WMPS             AGR            ,0.8769596789046573,0.7943317847932115,0.0986112238838065,-0.4036355927784342,0.9104860795117945,-0.534025394512541,,0.42113701510163376,1.0,0.9772191879123896,0.07400588421248128,0.9037515379996349,0.907838521067211,,0.8970508177204031
TM_TAX_WMPS             ALP            ,0.924436627730958,0.8891910966630784,0.263342682428074,-0.20518431616600033,0.8055054090245626,-0.43004818275432605,,0.2258270640728579,0.9772191879123896,1.0,0.19990258015665102,0.7949769292435608,0.9760447035646302,,0.7882966151417797
TM_TAX_WMPS             ARM            ,0.031013581360374284,0.14568434639231817,-0.004579437548617415,0.3433571339693766,-0.07887222579543893,-0.3574761449965947,,-0.6847009585730998,0.07400588421248128,0.19990258015665102,1.0,-0.10106551942402642,0.33522746459366287,,-0.3021353129970108
TM_TAX_WMPS             CLO            ,0.6314114877883658,0.46660852929390007,-0.30046477921197234,-0.7563675092089692,0.9997170592052583,-0.7370903854753702,,0.7196694041878203,0.9037515379996349,0.7949769292435608,-0.10106551942402642,1.0,0.6485357626935828,,0.9683261407615107
TM_TAX_WMPS             IND            ,0.9234730613386366,0.9380423950510861,0.4065796646394956,0.0028590272736295683,0.6627095539637811,-0.31847991610609067,,0.010953039798194137,0.907838521067211,0.9760447035646302,0.33522746459366287,0.6485357626935828,1.0,,0.6370471922006613
TM_TAX_WMPS             OIL            ,,,,,,,,,,,,,,,
TM_TAX_WMPS             TEX            ,0.6964660966438018,0.5346420123359737,-0.1483109803901084,-0.7027301117727467,0.9646619658613553,-0.5510164695612739,,0.7774163069598412,0.8970508177204031,0.7882966151417797,-0.3021353129970108,0.9683261407615107,0.6370471922006613,,1.0
