UniqueID,TimePeriod,VC_DSR_AFFCT                         ,VC_DSR_DAFF                         ,VC_DSR_IJILN                         ,VC_DSR_MISS                         ,VC_DSR_MMHN                         ,VC_DSR_MORT                         ,VC_DSR_MTMP                         ,VC_DSR_PDAN                         ,VC_DSR_PDLN                         ,VC_DSR_PDYN                         
TimePeriod,1.0,0.5428339912013161,0.5374878393149598,0.5495952321856706,0.40980808992245604,0.5882651996072708,0.5557712664018255,0.591961723076156,0.5315430564716151,0.983746337223898,0.4859384323001174
VC_DSR_AFFCT                         ,0.5428339912013161,1.0,0.999907140419055,0.9939551168632492,-0.10816692872212548,0.9510674836936917,0.9626505263627261,0.9374498112678479,0.9974173271088939,0.9999826624883749,0.9930547443847219
VC_DSR_DAFF                         ,0.5374878393149598,0.999907140419055,1.0,0.9928256481879842,-0.10851020338414487,0.9494860227336758,0.9610933253616369,0.9358570712425949,0.9973275018093478,0.999994598425494,0.9936742050272345
VC_DSR_IJILN                         ,0.5495952321856706,0.9939551168632492,0.9928256481879842,1.0,-0.1391736627384047,0.9611945518462744,0.9753846085897031,0.9485221060727614,0.9957739912650972,0.9980451006477608,0.9883883433340515
VC_DSR_MISS                         ,0.40980808992245604,-0.10816692872212548,-0.10851020338414487,-0.1391736627384047,1.0,0.07410379631684921,-0.008886249972243182,0.10692958194008405,-0.10136523213554723,-0.2775448095351135,-0.1629014389860267
VC_DSR_MMHN                         ,0.5882651996072708,0.9510674836936917,0.9494860227336758,0.9611945518462744,0.07410379631684921,1.0,0.996552654105628,0.9989523452245865,0.961335769698652,0.9998673060111407,0.9347319394471403
VC_DSR_MORT                         ,0.5557712664018255,0.9626505263627261,0.9610933253616369,0.9753846085897031,-0.008886249972243182,0.996552654105628,1.0,0.9927713286591816,0.9723808731668996,0.9975855054005368,0.9508240326532803
VC_DSR_MTMP                         ,0.591961723076156,0.9374498112678479,0.9358570712425949,0.9485221060727614,0.10692958194008405,0.9989523452245865,0.9927713286591816,1.0,0.949371498254877,0.9999073591266786,0.9197059685281816
VC_DSR_PDAN                         ,0.5315430564716151,0.9974173271088939,0.9973275018093478,0.9957739912650972,-0.10136523213554723,0.961335769698652,0.9723808731668996,0.949371498254877,1.0,0.9999871320736744,0.9953421618891939
VC_DSR_PDLN                         ,0.983746337223898,0.9999826624883749,0.999994598425494,0.9980451006477608,-0.2775448095351135,0.9998673060111407,0.9975855054005368,0.9999073591266786,0.9999871320736744,1.0,0.999896694433489
VC_DSR_PDYN                         ,0.4859384323001174,0.9930547443847219,0.9936742050272345,0.9883883433340515,-0.1629014389860267,0.9347319394471403,0.9508240326532803,0.9197059685281816,0.9953421618891939,0.999896694433489,1.0
