UniqueID,TimePeriod,VC_DSR_AGLH                         ,VC_DSR_BSDN                         ,VC_DSR_CDAN                         ,VC_DSR_CDYN                         ,VC_DSR_CHLN                         ,VC_DSR_CILN                         ,VC_DSR_DDPA                         ,VC_DSR_EFDN                         ,VC_DSR_ESDN                         ,VC_DSR_GDPLS                         ,VC_DSR_HFDN                         ,VC_DSR_HOLH                         ,VC_DSR_HSDN                         ,VC_DSR_LSGP                         ,VC_DSR_OBDN                         
TimePeriod,1.0,0.5163696881787612,-0.4316857250734867,-0.2452616965049688,-1.0,,-0.0019164392975273455,,-0.21114483615872526,0.7040029550955182,0.4652667542874661,0.18819145483848418,-0.44157947898919525,0.052414241836094805,0.36539381157374795,-0.7402820759176578
VC_DSR_AGLH                         ,0.5163696881787612,1.0,-0.1156521510630775,0.9987029539422684,,,-0.5223109339347933,,0.9999999999999998,0.9999999999999998,0.700370636706339,1.0,-0.85170426296252,-1.0,0.7000971796245248,-0.1302730707744596
VC_DSR_BSDN                         ,-0.4316857250734867,-0.1156521510630775,1.0,-0.4480626319607811,-1.0,,0.4462689719497055,,-0.975605635347886,-0.18764896792611915,-0.36694887698382245,1.0,-0.6020131968673383,-0.6857542571087304,-0.37737909838687567,0.9999121711396263
VC_DSR_CDAN                         ,-0.2452616965049688,0.9987029539422684,-0.4480626319607811,1.0,1.0,,-0.5832253085213052,,0.9790170879018926,,0.7212265098356223,0.7641759468834202,0.6528110113389253,-1.0,0.8149790133801401,-0.9863556716928987
VC_DSR_CDYN                         ,-1.0,,-1.0,1.0,1.0,,1.0,,1.0,,0.9999999999999999,,1.0,,0.9999999999999999,-1.0
VC_DSR_CHLN                         ,,,,,,,,,,,,,,,,
VC_DSR_CILN                         ,-0.0019164392975273455,-0.5223109339347933,0.4462689719497055,-0.5832253085213052,1.0,,1.0,,-0.7461938047939243,,-0.35160683020753936,-0.3693063465844554,-0.4902614482386435,1.0,-0.41133657110822397,0.3975051699937089
VC_DSR_DDPA                         ,,,,,,,,,,,,,,,,
VC_DSR_EFDN                         ,-0.21114483615872526,0.9999999999999998,-0.975605635347886,0.9790170879018926,1.0,,-0.7461938047939243,,1.0,,0.5191843599796181,-1.0,0.7862913693891619,,0.6400306353541882,-0.9769999621639689
VC_DSR_ESDN                         ,0.7040029550955182,0.9999999999999998,-0.18764896792611915,,,,,,,1.0,0.33525801950940465,,-0.3895697480915641,-1.0,0.2387153400370937,1.0
VC_DSR_GDPLS                         ,0.4652667542874661,0.700370636706339,-0.36694887698382245,0.7212265098356223,0.9999999999999999,,-0.35160683020753936,,0.5191843599796181,0.33525801950940465,1.0,0.9765558448426424,-0.032300633733872444,0.997407052154522,0.9893678226332339,-0.6656452030692088
VC_DSR_HFDN                         ,0.18819145483848418,1.0,1.0,0.7641759468834202,,,-0.3693063465844554,,-1.0,,0.9765558448426424,1.0,-1.0,,0.9985031858890627,
VC_DSR_HOLH                         ,-0.44157947898919525,-0.85170426296252,-0.6020131968673383,0.6528110113389253,1.0,,-0.4902614482386435,,0.7862913693891619,-0.3895697480915641,-0.032300633733872444,-1.0,1.0,1.0,0.0952350206534421,-0.5904146828699783
VC_DSR_HSDN                         ,0.052414241836094805,-1.0,-0.6857542571087304,-1.0,,,1.0,,,-1.0,0.997407052154522,,1.0,1.0,0.9955232465471128,-1.0
VC_DSR_LSGP                         ,0.36539381157374795,0.7000971796245248,-0.37737909838687567,0.8149790133801401,0.9999999999999999,,-0.41133657110822397,,0.6400306353541882,0.2387153400370937,0.9893678226332339,0.9985031858890627,0.0952350206534421,0.9955232465471128,1.0,-0.6713204405425636
VC_DSR_OBDN                         ,-0.7402820759176578,-0.1302730707744596,0.9999121711396263,-0.9863556716928987,-1.0,,0.3975051699937089,,-0.9769999621639689,1.0,-0.6656452030692088,,-0.5904146828699783,-1.0,-0.6713204405425636,1.0
