Index,Goal,Goal_title,Target,Indicator,Indicator_title,definition
2.1.2,2," End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.1,2.1.2,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)","The indicator measures the percentage of individuals in the population who have experienced food insecurity at moderate or severe levels during the reference period. The severity of food insecurity, defined as a latent trait, is measured on the Food Insecurity Experience Scale global reference scale, a measurement standard established by FAO through the application of the Food Insecurity Experience Scale in more than 140 countries worldwide, starting in 2014."
2.2.1,2," End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,2.2.1,Prevalence of stunting (height for age <-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5,"Prevalence of stunting (height-for-age <-2 standard deviation from the median of the World Health
Organization (WHO) Child Growth Standards) among children under 5 years of age."
2.2.2,2," End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,2.2.2,"Prevalence of malnutrition (weight for height >+2 or <-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age,","Prevalence of overweight (weight for height >+2 standard deviation from the median of the World Health
Organization (WHO) Child Growth Standards) among children under 5 years of age."
2.2.3,2," End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.2,2.2.3,"Prevalence of anaemia in women aged 15 to 49 years, by pregnancy status (percentage)","Percentage of women aged 15−49 years with a haemoglobin concentration less than 120 g/L for non-pregnant women and lactating women, and less than 110 g/L for pregnant women, adjusted for altitude and smoking."
2.3.1,2," End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.3,2.3.1,Volume of production per labour unit by classes of farming/pastoral/forestry enterprise size,"Volume of agricultural production of small-scale food producer in crop, livestock, fisheries, and forestry activities per number of days. The indicator is computed as a ratio of annual output to the number of working days in one year. Last updated: 15 February 2021 FAO proposes to define small-scale food producers as producers who: • operate an amount of land falling in the first two quintiles (the bottom 40 percent) of the cumulative distribution of land size at national level (measured in hectares); and • operate a number of livestock falling in the first two quintiles (the bottom 40 percent) of the cumulative distribution of the number of livestock per production unit at national level (measured in Tropical Livestock Units – TLUs); and • obtain an annual economic revenue from agricultural activities falling in the first two quintiles (the bottom 40 percent) of the cumulative distribution of economic revenues from agricultural activities per production unit at national level (measured in Purchasing Power Parity Dollars) not exceeding 34,387 Purchasing Power Parity Dollars."
2.3.2,2," End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.3,2.3.2,"Average income of small-scale food producers, by sex and indigenous status","SDG indicator 2.3.2 measures income from on-farm production activities, which is related to the production of food and agricultural products. This includes income from crop production, livestock production, fisheries and aquaculture production, and from forestry production. The indicator is computed as annual income. FAO proposes to define small-scale food producers as producers who: Last updated: 15 February 2021 • operate an amount of land falling in the first two quintiles (the bottom 40 percent) of the cumulative distribution of land size at national level (measured in hectares); and • operate a number of livestock falling in the first two quintiles (the bottom 40 percent) of the cumulative distribution of the number of livestock per production unit at national level (measured in Tropical Livestock Units – TLUs); and • obtain an annual economic revenue from agricultural activities falling in the first two quintiles (the bottom 40 percent) of the cumulative distribution of economic revenues from agricultural activities per production unit at national level (measured in Purchasing Power Parity Dollars) not exceeding 34,387 Purchasing Power Parity Dollars."
2.4.1,2," End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.4,2.4.1,Proportion of agricultural area under productive and sustainable agriculture,"The indicator is defined by the formula: Last updated: March 2021 𝑆𝐷𝐺2.4.1 = 𝐴𝑟𝑒𝑎 𝑢𝑛𝑑𝑒𝑟 𝑝𝑟𝑜𝑑𝑢𝑐𝑡𝑖𝑣𝑒 𝑎𝑛𝑑 𝑠𝑢𝑠𝑡𝑎𝑖𝑛𝑎𝑏𝑙𝑒 𝑎𝑔𝑟𝑖𝑐𝑢𝑙𝑡𝑢𝑟𝑒 𝐴𝑔𝑟𝑖𝑐𝑢𝑙𝑡𝑢𝑟𝑎𝑙 𝑙𝑎𝑛𝑑 𝑎𝑟𝑒𝑎1 This implies the need to measure both the extent of land under productive and sustainable agriculture (the numerator), as well as the extent of agriculture land area (the denominator). • The numerator captures the three dimensions of sustainable production: environmental, economic and social. It corresponds to agricultural land area of the farms that satisfy the sustainability criteria of the 11 sub-indicators selected across all three dimensions. • The denominator in turn the sum of agricultural land area (as defined by FAO) utilized by agricultural holdings that are owned (excluding rented-out), rented-in, leased, sharecropped or borrowed. State or communal land used by farm holdings is not included. Please see the methodological document prepared by FAO for a more detailed explanation. The scope of indicator 2.4.1 is the agricultural farm holding, and more precisely the agricultural land area of the farm holding, i.e. land used primarily to grow crops and raise livestock. This choice of scope is fully consistent with the intended use of a country’s agricultural land area as the denominator of the aggregate indicator. Specifically the following are: Included within scope: • Intensive and extensive crops and livestock production systems. • Subsistence agriculture. • State and common land when used exclusively and managed by the farm holding. • Food and non-food crops and livestock products (e.g. tobacco, cotton, and sheep wool). • Crops grown for fodder or for energy purposes. • Agro-forestry (trees on the agriculture areas of the farm). • Aquaculture, to the extent that it takes place within the agricultural land area. For example, rice-fish farming and similar systems. Excluded from scope: • State and common land not used exclusively by the farm holding. • Nomadic pastoralism. • Production from gardens and backyards. Production from hobby farms2. • Holdings focusing exclusively on aquaculture. • Holdings focusing exclusively on forestry. • Food harvested from the wild."
2.5.1,2," End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.5,2.5.1,Number of (a) plant and (b) animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities,"The conservation of plant and animal genetic resources for food and agriculture (GRFA) in medium or long term conservation facilities (ex situ, in genebanks) represents the most trusted means of conserving genetic resources worldwide. Plant and animal GRFA conserved in these facilities can be easily used in breeding programmes as well, even directly on-farm. The measure of trends in ex situ conserved materials provides an overall assessment of the extent to which we are managing to maintain and/or increase the total genetic diversity available for future use Last updated: March 2021 and thus protected from any permanent loss of genetic diversity which may occur in the natural habitat, i.e. in situ, or on-farm. The two components of the indicator 2.5.1, plant (a) and animal (b) GRFA, are separately counted. The plant component is calculated as the number of accessions of plant genetic resources secured in conservation facilities under medium or long term conditions, where an ‘accession’ is defined as a distinct sample of seeds, planting materials or plants which is maintained in a genebank. Genebank Standards for Plant Genetic Resources for Food and Agriculture (accessible at http://www.fao.org/documents/card/en/c/7b79ee93-0f3c-5f58-9adc-5d4ef063f9c7/), set the benchmark for current scientific and technical best practices for conserving plant genetic resources, and support key international policy instruments for the conservation and use of plant genetic resources. These voluntary standards have been endorsed by the FAO Commission on Genetic Resources for Food and Agriculture at its Fourteenth Regular Session (http://www.fao.org/docrep/meeting/028/mg538e.pdf)."
2.5.2,2," End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.5,2.5.2,Proportion of local breeds classified as being at risk of extinction,"The indicator presents the percentage of local livestock breeds among local breeds with known risk status classified as being at risk of extinctions at a certain moment in time, as well as the trends for this percentage."
2.a.1,2," End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.a,2.a.1,The agriculture orientation index for government expenditures,"The Agriculture Orientation Index (AOI) for Government Expenditures is defined as the Agriculture share of Government Expenditure, divided by the Agriculture value added share of GDP, where Agriculture refers to the agriculture, forestry, fishing and hunting sector. The measure is a currency-free index, calculated as the ratio of these two shares. National governments are requested to compile Government Expenditures according to the Government Finance Statistics (GFS) and the Classification of the Functions of Government (COFOG), and Agriculture value added share of GDP according to the System of National Accounts (SNA)."
2.a.2,2," End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.a,2.a.2,Total official flows (official development assistance plus other official flows) to the agriculture sector,Gross disbursements of total ODA and other official flows from all donors to the agriculture sector. 
2.b.1,2," End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.b,2.b.1,Agricultural export subsidies,"Agricultural export subsidies are defined as export subsidies budgetary outlays and quantities as notified
by WTO Members in Tables ES:1 and supporting Tables ES:2 (following templates in document G/AG/2
dated 30 June 1995).
Data cover:
• Notifications by WTO Members with export subsidy reduction commitments included in part IV of their
Schedules;
• Notifications of export subsidies by developing country Members pursuant to the provisions of article
9.4 of the Agreement on Agriculture.
Other WTO Members are not entitled to use export subsidies and their notifications are therefore not
recorded in the indicator series.
Budgetary outlays and quantities are expressed in a currency (national or other) and in quantity units as
per Member's notification practices. For Members with export subsidy reduction commitments included
in part IV of their Schedules, the currency used in the notifications is similar to the one used in the
Schedules.
Data are available by country and by products or groups of products, according to Members' schedules
for Members with export subsidy reduction commitments included in part IV of their Schedules and
according to Member's notification practices in the case of developing country Members using export
subsidies under the provisions of article 9.4 of the Agreement on Agriculture."""
2.c.1,2," End hunger, achieve food security and improved nutrition and promote sustainable agriculture",2.c,2.c.1,Indicator of food price anomalies,"The indicator of food price anomalies (IFPA) identifies market prices that are abnormally high. The IFPA relies on a weighted compound growth rate that accounts for both within year and across year price growth. The indicator directly evaluates growth in prices over a particular month over many years, taking into account seasonality in agricultural markets and inflation, allowing to answer the question of whether or not a change in price is abnormal for any particular period."
3.1.1,3, Ensure healthy lives and promote well-being for all at all ages,3.1,3.1.1,Maternal mortality ratio,"The maternal mortality ratio (MMR) is defined as the number of maternal deaths during a given time period per 100,000 live births during the same time period. It depicts the risk of maternal death relative to the number of live births and essentially captures the risk of death in a single pregnancy or a single live birth. Maternal deaths: The annual number of female deaths from any cause related to or aggravated by pregnancy or its management (excluding accidental or incidental causes) during pregnancy and childbirth or within 42 days of termination of pregnancy, irrespective of the duration and site of the pregnancy, expressed per 100,000 live births, for a specified time period. "
3.1.2,3, Ensure healthy lives and promote well-being for all at all ages,3.1,3.1.2,Proportion of births attended by skilled health personnel,"Proportion of births attended by skilled health personnel (generally doctors, nurses or midwives but can
refer to other health professionals providing childbirth care) is the proportion of childbirths attended
by professional health personnel. According to the current definition (1) these are competent maternal
and newborn health (MNH) professionals educated, trained and regulated to national and
international standards. They are competent to: (i) provide and promote evidence-based, humanrights based, quality, socio-culturally sensitive and dignified care to women and newborns; (ii)
facilitate physiological processes during labour and delivery to ensure a clean and positive childbirth
experience; and (iii) identify and manage or refer women and/or newborns with complications."
3.2.1,3, Ensure healthy lives and promote well-being for all at all ages,3.2,3.2.1,Under‑5 mortality rate,"Under-five mortality is the probability of a child born in a specific year or period dying before reaching the age of 5 years, if subject to age specific mortality rates of that period, expressed per 1000 live births. "
3.2.2,3, Ensure healthy lives and promote well-being for all at all ages,3.2,3.2.2,Neonatal mortality rate,"The neonatal mortality rate is the probability that a child born in a specific year or period will die during
the first 28 completed days of life if subject to age-specific mortality rates of that period, expressed per
1000 live births.Neonatal deaths (deaths among live births during the first 28 completed days of life) may be subdivided
into early neonatal deaths, occurring during the first 7 days of life, and late neonatal deaths, occurring
after the 7th day but before the 28th completed day of life."
3.3.1,3, Ensure healthy lives and promote well-being for all at all ages,3.3,3.3.1,"Number of new HIV infections per 1,000 uninfected population, by sex, age and key populations","The number of new HIV infections per 1,000 uninfected population, by sex, age and key populations as
defined as the number of new HIV infections per 1000 person-years among the uninfected population."
3.3.2,3, Ensure healthy lives and promote well-being for all at all ages,3.3,3.3.2,"Tuberculosis incidence per 100,000 population","The tuberculosis incidence per 100 000 population is defined as the estimated number of new and relapse TB cases (all forms of TB, including cases in people living with HIV) arising in a given year, expressed as a rate per 100 000 population."
3.3.3,3, Ensure healthy lives and promote well-being for all at all ages,3.3,3.3.3,"Malaria incidence per 1,000 population","Incidence of malaria is defined as the number of new cases of malaria per 1,000 people at risk each year."
3.3.4,3, Ensure healthy lives and promote well-being for all at all ages,3.3,3.3.4,"Hepatitis B incidence per 100,000 population","This indicator is measured indirectly through the proportion of children 5 years of age who have developed chronic HBV infection (i.e. the proportion that tests positive for a marker of infection called hepatitis B surface antigen [HBsAg]).Hepatitis B surface antigen: a protein from the virus’s coat. A positive test for HBsAg indicates active HBV infection. The immune response to HBsAg provides the basis for immunity against HBV, and HBsAg is the main component of HepB."
3.3.5,3, Ensure healthy lives and promote well-being for all at all ages,3.3,3.3.5,Number of people requiring interventions against neglected tropical diseases,Number of people requiring treatment and care for any one of the neglected tropical diseases (NTDs) targeted by the WHO NTD Roadmap and World Health Assembly resolutions and reported to WHO. 
3.4.1,3, Ensure healthy lives and promote well-being for all at all ages,3.4,3.4.1,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease","Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease.
Probability of dying between the ages of 30 and 70 years from cardiovascular diseases, cancer, diabetes
or chronic respiratory diseases, defined as the per cent of 30-year-old-people who would die before their
70th birthday from cardiovascular disease, cancer, diabetes, or chronic respiratory disease, assuming that
s/he would experience current mortality rates at every age and s/he would not die from any other cause
of death (e.g., injuries or HIV/AIDS). This indicator is calculated using life table methods (see further
details in section 3.3)."
3.4.2,3, Ensure healthy lives and promote well-being for all at all ages,3.4,3.4.2,Suicide mortality rate,"The Suicide mortality rate as defined as the number of suicide deaths in a year, divided by the population,
and multiplied by 100 000."
3.5.1,3, Ensure healthy lives and promote well-being for all at all ages,3.5,3.5.1,"Coverage of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services) for substance use disorders","The coverage of treatment interventions for substance use disorders is defined as the number of people who received treatment in a year divided by the total number of people with substance use disorders in the same year. This indicator is disaggregated by two broad groups of psychoactive substances: (1) drugs, (2) alcohol and other psychoactive substances. Whenever possible, this indicator is additionally disaggregated by type of treatment interventions (pharmacological, psychosocial and rehabilitation and aftercare services). The proposed indicator will be accompanied, with contextual information on availability coverage, i.e. treatment capacity for substance use disorders generated at national level to provide additional information for interpretation of the contact coverage data. "
