UniqueID,EN_LKRV_PWAC                         ,EN_LKRV_PWAN                         ,EN_LKRV_PWAP                         ,EN_LKRV_SWAC                         ,EN_LKRV_SWAN                         ,EN_LKRV_SWAP                         ,EN_LKW_QLTRB  EXTREME                       ,EN_LKW_QLTRB  HIGH                       ,EN_LKW_QLTRB  LOW                       ,EN_LKW_QLTRB  MEDIUM                       ,EN_LKW_QLTRST  EXTREME                       ,EN_LKW_QLTRST  HIGH                       ,EN_LKW_QLTRST  LOW                       ,EN_LKW_QLTRST  MEDIUM                       ,EN_RSRV_MNWAN                         ,EN_RSRV_MNWAP                         ,EN_RSRV_MXWAN                         ,EN_RSRV_MXWAP                         ,EN_WBE_HMWTL                         ,EN_WBE_MANGBN                         ,EN_WBE_MANGC                         ,EN_WBE_MANGGN                         ,EN_WBE_MANGGP                         ,EN_WBE_MANGLN                         ,EN_WBE_MANGLP                         ,EN_WBE_MANGN                         ,EN_WBE_WTLN                         ,EN_WBE_WTLP                         
EN_LKRV_PWAC                         ,1.0,0.9999999999984012,0.8929578842167618,-0.26379738257943974,-0.2637974536950509,-0.22399616408324138,0.9983012091428032,0.9726655476674047,-0.9828224922778953,0.7695652929523468,-0.9922249405363345,-0.7475288103933575,0.6774206495645341,-0.16573624944866913,-0.09748201341943001,1.2357526615296963e-16,-0.23566776452380048,0.021270581273833453,,,-1.0,-1.0,-1.0,0.9999999999999999,,-1.0,,
EN_LKRV_PWAN                         ,0.9999999999984012,1.0,0.8929575808738396,-0.2637966581057189,-0.2637967292213536,-0.22399542928709515,0.9983012797303837,0.9726658289955527,-0.9828227158681982,0.7695660665930224,-0.9922247897522463,-0.7475280056623185,0.6774197583712858,-0.16573505467882388,-0.09748133177366032,-8.719788658518601e-15,-0.2356670835543456,0.02127087343816301,,,-1.0,-1.0,-1.0,0.9999999999999998,,-1.0,,
EN_LKRV_PWAP                         ,0.8929578842167618,0.8929575808738396,1.0,-0.6485249818631106,-0.648525040067348,-0.6136758588974519,0.9977694479928148,0.970654989028877,-0.9812169751784144,0.7641052877083149,-0.9932477712792647,-0.7531522168190629,0.68365369172823,-0.17411938661722517,-0.4428954441778481,6.983507383432045e-16,-0.6200021639464594,-0.2767463140305203,,,-1.0000000000000002,-1.0,-1.0,1.0,,-1.0,,
EN_LKRV_SWAC                         ,-0.26379738257943974,-0.2637966581057189,-0.6485249818631106,1.0,0.9999999999999917,0.9988388734629042,0.9798908196570633,0.9297969786332085,-0.9466230776399747,0.6710131509611829,-0.9998415010867571,-0.8343318221080579,0.7750765225603868,-0.30419213490467245,0.8870025439229752,-7.340113871669795e-17,0.9949584320795906,0.800159575118209,,,1.0,1.0,1.0,-1.0,,1.0,,
EN_LKRV_SWAN                         ,-0.2637974536950509,-0.2637967292213536,-0.648525040067348,0.9999999999999917,1.0,0.998838869998652,0.9798907683998274,0.9297968840811567,-0.9466229948352788,0.671012960495667,-0.999841496513231,-0.8343319637185779,0.7750766848769994,-0.30419237961513695,0.8870025324985269,-1.3432972507341966e-15,0.994958432616719,0.8001595652959473,,,1.0,1.0,1.0,-1.0,,1.0,,
EN_LKRV_SWAP                         ,-0.22399616408324138,-0.22399542928709515,-0.6136758588974519,0.9988388734629042,0.998838869998652,1.0,0.9806717762965255,0.9312444322091613,-0.9478896626706311,0.6739382875280558,-0.9999040569263159,-0.8321465787359206,0.7725731716414824,-0.3004248040876438,0.8966727722828965,-8.246791897345469e-16,0.995927792278451,0.8207069477565517,,,0.9999999999999999,0.9999999999999998,1.0,-0.9999999999999999,,0.9999999999999999,,
EN_LKW_QLTRB  EXTREME                       ,0.9983012091428032,0.9983012797303837,0.9977694479928148,0.9798908196570633,0.9798907683998274,0.9806717762965255,1.0,0.9845427111566522,-0.991905703695892,0.8054635078038411,-0.9832879642776717,-0.7075582421910042,0.6334110831641557,-0.10799646463671543,0.9985608421616495,,0.9898947819691797,0.602731968830297,,,,,,,,,,
EN_LKW_QLTRB  HIGH                       ,0.9726655476674047,0.9726658289955527,0.970654989028877,0.9297969786332085,0.9297968840811567,0.9312444322091613,0.9845427111566522,1.0,-0.998812815865294,0.8968118945709623,-0.9362026743847675,-0.572854458865009,0.4880906201076948,0.06779314976404287,0.9925189169890887,,0.9497575130660587,0.4536597904692911,,,,,,,,,,
EN_LKW_QLTRB  LOW                       ,-0.9828224922778953,-0.9828227158681982,-0.9812169751784144,-0.9466230776399747,-0.9466229948352788,-0.9478896626706311,-0.991905703695892,-0.998812815865294,1.0,-0.8741959839922977,0.9522119385677351,0.6121023526558563,-0.5300275523478635,-0.01911171049308837,-0.9972880337202031,,-0.9638765045219874,-0.49653304100026086,,,,,,,,,,
EN_LKW_QLTRB  MEDIUM                       ,0.7695652929523468,0.7695660665930224,0.7641052877083149,0.6710131509611829,0.671012960495667,0.6739382875280558,0.8054635078038411,0.8968118945709623,-0.8741959839922977,1.0,-0.6841072886316846,-0.15111650917581426,0.051591348493412216,0.5021919433003884,0.8360882635295328,,0.7132847514278976,0.012580955099767276,,,,,,,,,,
