UniqueID,TimePeriod,SL_TLF_UEM BOTHSEX                 15+       ,SL_TLF_UEM BOTHSEX                 15-24       ,SL_TLF_UEM BOTHSEX                 25+       ,SL_TLF_UEM FEMALE                 15+       ,SL_TLF_UEM FEMALE                 15-24       ,SL_TLF_UEM FEMALE                 25+       ,SL_TLF_UEM MALE                 15+       ,SL_TLF_UEM MALE                 15-24       ,SL_TLF_UEM MALE                 25+       ,SL_TLF_UEMDIS BOTHSEX                  PD      ,SL_TLF_UEMDIS BOTHSEX                  PWD      ,SL_TLF_UEMDIS BOTHSEX                  _T      ,SL_TLF_UEMDIS FEMALE                  PD      ,SL_TLF_UEMDIS FEMALE                  PWD      ,SL_TLF_UEMDIS FEMALE                  _T      ,SL_TLF_UEMDIS MALE                  PD      ,SL_TLF_UEMDIS MALE                  PWD      ,SL_TLF_UEMDIS MALE                  _T      
TimePeriod,1.0,-0.5051232539302947,-0.6150328604028381,6.374559233393189e-17,-0.49280538030458104,-0.6771231123198789,0.1199232736494449,-0.4640954808922574,-0.5708347825713573,-0.030358837035946117,,-0.5587442366156621,-0.5587442366156621,0.9948497511671098,-0.3319700011034928,-0.3319700011034928,1.0,-0.6213664431593421,-0.6984302957695778
SL_TLF_UEM BOTHSEX                 15+       ,-0.5051232539302947,1.0,0.9816226866176123,0.8459098688756274,0.9609331989577096,0.9603230686016143,0.6802183841248721,0.97066775237969,0.9841081557339052,0.7379946876771948,,1.0,1.0,-0.27512164691979035,0.966074608572249,0.966074608572249,-1.0,0.9935884193396078,0.9756097560975608
SL_TLF_UEM BOTHSEX                 15-24       ,-0.6150328604028381,0.9816226866176123,1.0,0.7392416871399125,0.9736356155877726,0.9905766217649291,0.65055898168837,0.9210812543014475,0.9942689427454902,0.5978911060209724,,0.9924628084938378,0.9924628084938378,-0.37170770273906645,0.9634930855089747,0.9634930855089747,-1.0000000000000002,0.9772653279390827,0.9559752052403881
SL_TLF_UEM BOTHSEX                 25+       ,6.374559233393189e-17,0.8459098688756274,0.7392416871399125,1.0,0.7864448328478749,0.6777639394340575,0.7872565303667284,0.8660254037844386,0.7744033625240062,0.9151333141298448,,0.9403541362074953,0.9403541362074953,0.10136060675992292,0.9585931846674113,0.9585931846674113,-1.0000000000000002,0.9318274524687357,0.8966167345234256
SL_TLF_UEM FEMALE                 15+       ,-0.49280538030458104,0.9609331989577096,0.9736356155877726,0.7864448328478749,1.0,0.951546455423014,0.7787140543007905,0.8744746321952064,0.983126493554748,0.5852390484520127,,0.966074608572249,0.966074608572249,-0.14056187114809393,1.0,1.0,-1.0,0.9348721613245157,0.8887886398864691
SL_TLF_UEM FEMALE                 15-24       ,-0.6771231123198789,0.9603230686016143,0.9905766217649291,0.6777639394340575,0.951546455423014,1.0,0.5727754488873482,0.8894713499678895,0.9717581950324525,0.54581503688095,,0.9910618850907449,0.9910618850907449,-0.3764811673457457,0.9638019974584525,0.9638019974584525,-1.0,0.9746711618637461,0.9525740448930462
SL_TLF_UEM FEMALE                 25+       ,0.1199232736494449,0.6802183841248721,0.65055898168837,0.7872565303667284,0.7787140543007905,0.5727754488873482,1.0,0.5843864182223846,0.6993288590604024,0.48421723916490383,,0.6311687442672029,0.6311687442672029,0.10136060675992294,0.8095238095238096,0.8095238095238096,,0.5488604301969738,0.4508348173337165
SL_TLF_UEM MALE                 15+       ,-0.4640954808922574,0.97066775237969,0.9210812543014475,0.8660254037844386,0.8744746321952064,0.8894713499678895,0.5843864182223846,1.0,0.9294526842203642,0.8453639444116163,,0.9756097560975608,0.9756097560975608,-0.33327162207975713,0.8887886398864691,0.8887886398864691,-1.0,0.993588419339608,1.0
SL_TLF_UEM MALE                 15-24       ,-0.5708347825713573,0.9841081557339052,0.9942689427454902,0.7744033625240062,0.983126493554748,0.9717581950324525,0.6993288590604024,0.9294526842203642,1.0,0.6269338991292966,,0.9976777703429217,0.9976777703429217,-0.32038331635404255,0.9696627449632134,0.9696627449632134,-1.0,0.9853446906594089,0.9641423831045043
SL_TLF_UEM MALE                 25+       ,-0.030358837035946117,0.7379946876771948,0.5978911060209724,0.9151333141298448,0.5852390484520127,0.54581503688095,0.48421723916490383,0.8453639444116163,0.6269338991292966,1.0,,0.8966167345234252,0.8966167345234252,0.1013606067599229,0.8200013989323635,0.8200013989323635,-1.0,0.9318274524687354,0.940354136207495
