UniqueID,TimePeriod,SE_ADT_ACTS BOTHSEX       ARSP                 ,SE_ADT_ACTS BOTHSEX       CMFL                 ,SE_ADT_ACTS BOTHSEX       COPA                 ,SE_ADT_ACTS BOTHSEX       EMAIL                 ,SE_ADT_ACTS BOTHSEX       EPRS                 ,SE_ADT_ACTS BOTHSEX       INST                 ,SE_ADT_ACTS BOTHSEX       PCPR                 ,SE_ADT_ACTS BOTHSEX       SOFT                 ,SE_ADT_ACTS BOTHSEX       TRAF                 
TimePeriod,1.0,0.8698270706020815,0.871583934514048,0.871583934514048,0.9090857179494789,0.8695657642619686,0.8914949875540753,1.0,0.9565780857612831,0.8752697594353394
SE_ADT_ACTS BOTHSEX       ARSP                 ,0.8698270706020815,1.0,0.9999936193470269,0.9999936193470269,0.9962842810230216,0.9999998598663151,0.9989521504717236,1.0,0.9758592523968441,0.5227287288102153
SE_ADT_ACTS BOTHSEX       CMFL                 ,0.871583934514048,0.9999936193470269,1.0,1.0,0.9965855900689673,0.9999915880331288,0.9991092688892061,1.0,0.9766332155051701,0.525770768507328
SE_ADT_ACTS BOTHSEX       COPA                 ,0.871583934514048,0.9999936193470269,1.0,1.0,0.9965855900689673,0.9999915880331288,0.9991092688892061,1.0,0.9766332155051701,0.525770768507328
SE_ADT_ACTS BOTHSEX       EMAIL                 ,0.9090857179494789,0.9962842810230216,0.9965855900689673,0.9965855900689673,1.0,0.996238546236087,0.9991820224383361,0.9999999999999999,0.9910431118815649,0.594208471672681
SE_ADT_ACTS BOTHSEX       EPRS                 ,0.8695657642619686,0.9999998598663151,0.9999915880331288,0.9999915880331288,0.996238546236087,1.0,0.998927781405463,1.0,0.9757434938761437,0.5222773401401104
SE_ADT_ACTS BOTHSEX       INST                 ,0.8914949875540753,0.9989521504717236,0.9991092688892061,0.9991092688892061,0.9991820224383361,0.998927781405463,1.0,0.9999999999999999,0.9848321871631954,0.5611971526214213
SE_ADT_ACTS BOTHSEX       PCPR                 ,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,1.0,0.9999999999999998,1.0
SE_ADT_ACTS BOTHSEX       SOFT                 ,0.9565780857612831,0.9758592523968441,0.9766332155051701,0.9766332155051701,0.9910431118815649,0.9757434938761437,0.9848321871631954,0.9999999999999998,1.0,0.6962957762100759
SE_ADT_ACTS BOTHSEX       TRAF                 ,0.8752697594353394,0.5227287288102153,0.525770768507328,0.525770768507328,0.594208471672681,0.5222773401401104,0.5611971526214213,1.0,0.6962957762100759,1.0
