UniqueID,SL_TLF_UEM BOTHSEX                 15+       ,SL_TLF_UEM BOTHSEX                 15-24       ,SL_TLF_UEM BOTHSEX                 25+       ,SL_TLF_UEM FEMALE                 15+       ,SL_TLF_UEM FEMALE                 15-24       ,SL_TLF_UEM FEMALE                 25+       ,SL_TLF_UEM MALE                 15+       ,SL_TLF_UEM MALE                 15-24       ,SL_TLF_UEM MALE                 25+       ,SL_TLF_UEMDIS BOTHSEX                  PD      ,SL_TLF_UEMDIS BOTHSEX                  PWD      ,SL_TLF_UEMDIS BOTHSEX                  _T      ,SL_TLF_UEMDIS FEMALE                  PD      ,SL_TLF_UEMDIS FEMALE                  PWD      ,SL_TLF_UEMDIS FEMALE                  _T      ,SL_TLF_UEMDIS MALE                  PD      ,SL_TLF_UEMDIS MALE                  PWD      ,SL_TLF_UEMDIS MALE                  _T      
SL_TLF_UEM BOTHSEX                 15+       ,1.0,0.9816226866176114,0.8459098688756268,0.9609331989577092,0.9603230686016144,0.6802183841248719,0.9706677523796898,0.9841081557339051,0.7379946876771957,,1.0,1.0,-0.27512164691979063,0.9660746085722495,0.9660746085722495,-0.9999999999999992,0.9935884193396084,0.9756097560975617
SL_TLF_UEM BOTHSEX                 15-24       ,0.9816226866176114,1.0,0.7392416871399123,0.9736356155877723,0.9905766217649294,0.6505589816883702,0.9210812543014479,0.9942689427454905,0.5978911060209733,,0.9924628084938374,0.9924628084938374,-0.3717077027390665,0.9634930855089745,0.9634930855089745,-0.9999999999999994,0.9772653279390827,0.9559752052403885
SL_TLF_UEM BOTHSEX                 25+       ,0.8459098688756268,0.7392416871399123,1.0,0.786444832847875,0.6777639394340573,0.7872565303667287,0.8660254037844376,0.7744033625240057,0.915133314129845,,0.9403541362074949,0.9403541362074949,0.10136060675992307,0.9585931846674113,0.9585931846674113,-0.9999999999999991,0.931827452468736,0.8966167345234264
SL_TLF_UEM FEMALE                 15+       ,0.9609331989577092,0.9736356155877723,0.786444832847875,1.0,0.9515464554230142,0.7787140543007912,0.8744746321952065,0.9831264935547482,0.5852390484520138,,0.9660746085722485,0.9660746085722485,-0.14056187114809418,1.0,1.0,-0.9999999999999994,0.9348721613245158,0.8887886398864695
SL_TLF_UEM FEMALE                 15-24       ,0.9603230686016144,0.9905766217649294,0.6777639394340573,0.9515464554230142,1.0,0.5727754488873484,0.88947134996789,0.9717581950324529,0.5458150368809512,,0.9910618850907446,0.9910618850907446,-0.3764811673457457,0.9638019974584526,0.9638019974584526,-0.9999999999999993,0.9746711618637461,0.9525740448930469
SL_TLF_UEM FEMALE                 25+       ,0.6802183841248719,0.6505589816883702,0.7872565303667287,0.7787140543007912,0.5727754488873484,1.0,0.5843864182223836,0.6993288590604021,0.48421723916490395,,0.6311687442672028,0.6311687442672028,0.10136060675992287,0.8095238095238098,0.8095238095238098,,0.5488604301969743,0.4508348173337171
SL_TLF_UEM MALE                 15+       ,0.9706677523796898,0.9210812543014479,0.8660254037844376,0.8744746321952065,0.88947134996789,0.5843864182223836,1.0,0.9294526842203642,0.845363944411617,,0.97560975609756,0.97560975609756,-0.33327162207975725,0.8887886398864686,0.8887886398864686,-1.0,0.9935884193396076,1.0
SL_TLF_UEM MALE                 15-24       ,0.9841081557339051,0.9942689427454905,0.7744033625240057,0.9831264935547482,0.9717581950324529,0.6993288590604021,0.9294526842203642,1.0,0.6269338991292976,,0.9976777703429212,0.9976777703429212,-0.32038331635404255,0.9696627449632129,0.9696627449632129,-0.9999999999999994,0.9853446906594089,0.9641423831045046
SL_TLF_UEM MALE                 25+       ,0.7379946876771957,0.5978911060209733,0.915133314129845,0.5852390484520138,0.5458150368809512,0.48421723916490395,0.845363944411617,0.6269338991292976,1.0,,0.8966167345234247,0.8966167345234247,0.10136060675992282,0.8200013989323632,0.8200013989323632,-0.9999999999999988,0.9318274524687356,0.9403541362074954
SL_TLF_UEMDIS BOTHSEX                  PD      ,,,,,,,,,,,,,,,,,,
SL_TLF_UEMDIS BOTHSEX                  PWD      ,1.0,0.9924628084938374,0.9403541362074949,0.9660746085722485,0.9910618850907446,0.6311687442672028,0.97560975609756,0.9976777703429212,0.8966167345234247,,1.0,1.0,-0.27512164691979063,0.9660746085722495,0.9660746085722495,-0.9999999999999992,0.9935884193396084,0.9756097560975617
SL_TLF_UEMDIS BOTHSEX                  _T      ,1.0,0.9924628084938374,0.9403541362074949,0.9660746085722485,0.9910618850907446,0.6311687442672028,0.97560975609756,0.9976777703429212,0.8966167345234247,,1.0,1.0,-0.27512164691979063,0.9660746085722495,0.9660746085722495,-0.9999999999999992,0.9935884193396084,0.9756097560975617
SL_TLF_UEMDIS FEMALE                  PD      ,-0.27512164691979063,-0.3717077027390665,0.10136060675992307,-0.14056187114809418,-0.3764811673457457,0.10136060675992287,-0.33327162207975725,-0.32038331635404255,0.10136060675992282,,-0.27512164691979063,-0.27512164691979063,1.0,-0.14056187114809426,-0.14056187114809426,,-0.27512164691979013,-0.33327162207975664
SL_TLF_UEMDIS FEMALE                  PWD      ,0.9660746085722495,0.9634930855089745,0.9585931846674113,1.0,0.9638019974584526,0.8095238095238098,0.8887886398864686,0.9696627449632129,0.8200013989323632,,0.9660746085722495,0.9660746085722495,-0.14056187114809426,1.0,1.0,-0.9999999999999994,0.9348721613245158,0.8887886398864695
SL_TLF_UEMDIS FEMALE                  _T      ,0.9660746085722495,0.9634930855089745,0.9585931846674113,1.0,0.9638019974584526,0.8095238095238098,0.8887886398864686,0.9696627449632129,0.8200013989323632,,0.9660746085722495,0.9660746085722495,-0.14056187114809426,1.0,1.0,-0.9999999999999994,0.9348721613245158,0.8887886398864695
SL_TLF_UEMDIS MALE                  PD      ,-0.9999999999999992,-0.9999999999999994,-0.9999999999999991,-0.9999999999999994,-0.9999999999999993,,-1.0,-0.9999999999999994,-0.9999999999999988,,-0.9999999999999992,-0.9999999999999992,,-0.9999999999999994,-0.9999999999999994,1.0,-1.0,-1.0
SL_TLF_UEMDIS MALE                  PWD      ,0.9935884193396084,0.9772653279390827,0.931827452468736,0.9348721613245158,0.9746711618637461,0.5488604301969743,0.9935884193396076,0.9853446906594089,0.9318274524687356,,0.9935884193396084,0.9935884193396084,-0.27512164691979013,0.9348721613245158,0.9348721613245158,-1.0,1.0,0.9935884193396084
SL_TLF_UEMDIS MALE                  _T      ,0.9756097560975617,0.9559752052403885,0.8966167345234264,0.8887886398864695,0.9525740448930469,0.4508348173337171,1.0,0.9641423831045046,0.9403541362074954,,0.9756097560975617,0.9756097560975617,-0.33327162207975664,0.8887886398864695,0.8887886398864695,-1.0,0.9935884193396084,1.0
